line,statn_id,statn_nm,direction,time_band,day_type,headway_samples,p50_sec,p90_sec,mean_sec,std_sec,cv,over_1p5x_ratio
1호선,1001000144,오류동,상행,퇴근,평일,7,375,614,384.0,154.9,0.403,0.143
1호선,1001000144,오류동,하행,점심,평일,3,623,818,640.0,170.6,0.267,0.0
1호선,1001000144,오류동,하행,출근,평일,5,487,614,488.0,112.3,0.23,0.0
1호선,1001000144,오류동,하행,퇴근,평일,7,449,737,457.0,149.5,0.327,0.143
1호선,1001000145,온수,상행,점심,평일,2,466,708,587.0,171.1,0.292,0.5
1호선,1001000145,온수,상행,출근,평일,8,503,759,486.0,203.7,0.419,0.125
1호선,1001000145,온수,상행,퇴근,평일,7,385,608,389.0,159.9,0.411,0.143
1호선,1001000145,온수,하행,점심,평일,4,466,813,532.0,244.4,0.459,0.25
1호선,1001000145,온수,하행,출근,평일,5,492,625,487.0,108.7,0.223,0.0
1호선,1001000145,온수,하행,퇴근,평일,7,466,730,455.0,151.8,0.334,0.143
1호선,1001000146,역곡,상행,점심,평일,4,58,443,150.0,198.0,1.32,0.5
1호선,1001000146,역곡,상행,출근,평일,20,192,358,199.0,122.2,0.615,0.2
1호선,1001000146,역곡,상행,퇴근,평일,15,205,459,228.0,139.7,0.612,0.267
1호선,1001000146,역곡,하행,점심,평일,7,387,576,342.0,170.7,0.499,0.0
1호선,1001000146,역곡,하행,출근,평일,16,252,414,260.0,115.8,0.446,0.125
1호선,1001000146,역곡,하행,퇴근,평일,14,237,409,223.0,142.4,0.639,0.143
1호선,1001000147,소사,상행,점심,평일,1,486,486,486.0,,,0.0
1호선,1001000147,소사,상행,출근,평일,8,434,694,496.0,158.0,0.319,0.125
1호선,1001000147,소사,상행,퇴근,평일,8,432,662,426.0,167.9,0.394,0.125
1호선,1001000147,소사,하행,점심,평일,4,471,802,539.0,218.7,0.406,0.25
1호선,1001000147,소사,하행,출근,평일,5,642,706,556.0,184.1,0.331,0.0
1호선,1001000147,소사,하행,퇴근,평일,6,410,745,437.0,188.7,0.432,0.167
1호선,1001000148,부천,상행,점심,평일,5,150,580,258.0,209.8,0.813,0.4
1호선,1001000148,부천,상행,출근,평일,18,170,444,219.0,145.0,0.662,0.444
1호선,1001000148,부천,상행,퇴근,평일,16,176,442,215.0,135.6,0.631,0.375
1호선,1001000148,부천,하행,점심,평일,7,426,812,427.0,243.8,0.572,0.143
1호선,1001000148,부천,하행,출근,평일,15,225,457,270.0,178.7,0.662,0.333
1호선,1001000148,부천,하행,퇴근,평일,15,232,417,242.0,146.3,0.605,0.267
1호선,1001000149,중동,상행,점심,평일,2,491,728,610.0,167.6,0.275,0.0
1호선,1001000149,중동,상행,출근,평일,7,490,715,523.0,152.3,0.291,0.0
1호선,1001000149,중동,상행,퇴근,평일,7,471,653,459.0,155.8,0.34,0.0
1호선,1001000149,중동,하행,점심,평일,4,469,787,513.0,256.2,0.499,0.25
1호선,1001000149,중동,하행,출근,평일,5,582,713,507.0,200.8,0.396,0.0
1호선,1001000149,중동,하행,퇴근,평일,5,464,758,436.0,232.7,0.533,0.2
1호선,1001000150,송내,상행,점심,평일,6,201,876,364.0,296.6,0.814,0.5
1호선,1001000150,송내,상행,출근,평일,17,239,415,231.0,121.7,0.527,0.118
1호선,1001000150,송내,상행,퇴근,평일,14,232,406,233.0,135.5,0.581,0.286
1호선,1001000150,송내,하행,점심,평일,7,445,737,427.0,219.4,0.514,0.143
1호선,1001000150,송내,하행,출근,평일,14,267,468,255.0,191.3,0.75,0.143
1호선,1001000150,송내,하행,퇴근,평일,13,182,464,253.0,152.3,0.601,0.462
1호선,1001000151,부개,상행,점심,평일,3,725,851,711.0,148.0,0.208,0.0
1호선,1001000151,부개,상행,출근,평일,7,542,706,528.0,136.3,0.258,0.0
1호선,1001000151,부개,상행,퇴근,평일,6,438,646,468.0,156.3,0.334,0.0
1호선,1001000151,부개,하행,점심,평일,4,467,756,516.0,245.3,0.476,0.25
1호선,1001000151,부개,하행,출근,평일,6,357,721,484.0,185.5,0.384,0.5
1호선,1001000151,부개,하행,퇴근,평일,5,452,773,435.0,244.1,0.562,0.2
1호선,1001000152,부평,상행,점심,평일,5,282,886,421.0,270.1,0.641,0.4
1호선,1001000152,부평,상행,출근,평일,17,211,392,228.0,103.2,0.453,0.235
1호선,1001000152,부평,상행,퇴근,평일,16,217,370,232.0,121.0,0.522,0.313
1호선,1001000152,부평,하행,점심,평일,6,223,646,379.0,199.9,0.528,0.5
1호선,1001000152,부평,하행,출근,평일,16,241,488,247.0,196.9,0.797,0.188
1호선,1001000152,부평,하행,퇴근,평일,14,219,470,259.0,146.5,0.566,0.286
1호선,1001000153,백운,상행,점심,평일,3,740,857,710.0,164.1,0.231,0.0
1호선,1001000153,백운,상행,출근,평일,8,538,747,514.0,158.5,0.308,0.0
1호선,1001000153,백운,상행,퇴근,평일,6,459,711,512.0,180.1,0.352,0.167
1호선,1001000153,백운,하행,점심,평일,4,447,745,520.0,234.4,0.451,0.25
1호선,1001000153,백운,하행,출근,평일,5,605,689,527.0,153.6,0.292,0.0
1호선,1001000153,백운,하행,퇴근,평일,4,230,777,408.0,259.3,0.636,0.5
1호선,1001000154,동암,상행,점심,평일,5,372,827,426.0,237.2,0.557,0.2
1호선,1001000154,동암,상행,출근,평일,16,224,417,244.0,140.0,0.573,0.375
1호선,1001000154,동암,상행,퇴근,평일,15,238,412,243.0,149.6,0.615,0.333
