line,minute_ts,records,distinct_trains,ingest_lag_avg_sec
2호선,2026-06-24T18:46:00.000Z,106,41,-32348.8
9호선,2026-06-24T12:21:00.000Z,47,25,-32349.8
2호선,2026-06-24T12:16:00.000Z,65,30,-32345.9
2호선,2026-06-24T08:53:00.000Z,130,50,-32334.9
9호선,2026-06-24T18:39:00.000Z,89,34,-32344.2
9호선,2026-06-16T17:01:00.000Z,34,16,-31013.2
1호선,2026-06-24T12:40:00.000Z,136,37,-32323.8
1호선,2026-06-24T08:25:00.000Z,185,44,-32322.1
2호선,2026-06-24T18:30:00.000Z,85,42,-32346.4
2호선,2026-06-24T12:37:00.000Z,63,33,-32355.4
9호선,2026-06-24T17:59:00.000Z,81,32,-32330.1
2호선,2026-06-24T12:52:00.000Z,57,29,-32362.6
2호선,2026-06-24T17:59:00.000Z,97,42,-32339.5
2호선,2026-06-24T18:39:00.000Z,137,47,-32352.0
2호선,2026-06-24T18:33:00.000Z,124,44,-32351.0
1호선,2026-06-24T12:13:00.000Z,89,26,-32330.3
1호선,2026-06-24T11:58:00.000Z,60,23,-32257.1
1호선,2026-06-24T18:51:00.000Z,181,48,-32327.8
1호선,2026-06-24T18:44:00.000Z,202,51,-32313.5
9호선,2026-06-16T17:00:00.000Z,76,24,-30983.5
9호선,2026-06-16T17:30:00.000Z,22,17,-31417.1
2호선,2026-06-24T12:36:00.000Z,48,27,-32335.1
9호선,2026-06-24T18:41:00.000Z,122,36,-32325.2
2호선,2026-06-24T11:59:00.000Z,50,27,-32335.4
1호선,2026-06-24T18:58:00.000Z,87,41,-32357.7
1호선,2026-06-24T18:32:00.000Z,192,45,-32307.2
1호선,2026-06-24T18:31:00.000Z,173,49,-32324.6
1호선,2026-06-24T18:14:00.000Z,164,40,-32313.7
1호선,2026-06-24T18:59:00.000Z,35,32,-32375.2
2호선,2026-06-24T12:17:00.000Z,48,24,-32346.8
9호선,2026-06-16T16:58:00.000Z,72,24,-30921.9
9호선,2026-06-24T12:17:00.000Z,36,22,-32343.1
9호선,2026-06-24T12:58:00.000Z,37,22,-32350.2
9호선,2026-06-24T11:55:00.000Z,1,1,-32119.0
2호선,2026-06-24T08:17:00.000Z,96,50,-32332.9
1호선,2026-06-24T12:14:00.000Z,134,38,-32311.6
2호선,2026-06-24T18:29:00.000Z,126,44,-32338.4
9호선,2026-06-24T12:42:00.000Z,30,19,-32350.6
9호선,2026-06-24T08:06:00.000Z,77,26,-32333.3
2호선,2026-06-24T18:28:00.000Z,104,40,-32344.0
9호선,2026-06-16T16:52:00.000Z,62,21,-30739.7
1호선,2026-06-24T12:20:00.000Z,121,39,-32318.4
1호선,2026-06-24T12:03:00.000Z,147,41,-32325.8
2호선,2026-06-24T18:32:00.000Z,104,36,-32337.5
1호선,2026-06-24T18:10:00.000Z,216,50,-32323.4
9호선,2026-06-24T08:30:00.000Z,97,31,-32325.9
1호선,2026-06-24T18:17:00.000Z,163,39,-32313.5
2호선,2026-06-24T08:11:00.000Z,107,46,-32324.7
9호선,2026-06-24T08:24:00.000Z,83,33,-32322.3
1호선,2026-06-24T18:03:00.000Z,204,41,-32311.7
2호선,2026-06-24T08:26:00.000Z,134,53,-32335.1
9호선,2026-06-16T16:33:00.000Z,50,16,-30180.8
9호선,2026-06-16T17:03:00.000Z,50,19,-31064.1
1호선,2026-06-24T08:18:00.000Z,257,53,-32302.4
9호선,2026-06-24T12:09:00.000Z,60,24,-32326.6
2호선,2026-06-24T12:30:00.000Z,46,22,-32347.2
1호선,2026-06-24T07:47:00.000Z,6,3,-32139.8
9호선,2026-06-16T17:13:00.000Z,72,26,-31371.1
1호선,2026-06-24T18:19:00.000Z,185,49,-32318.5
2호선,2026-06-24T12:08:00.000Z,50,26,-32352.0
1호선,2026-06-24T18:38:00.000Z,207,51,-32315.4
9호선,2026-06-16T16:24:00.000Z,62,19,-29900.8
9호선,2026-06-24T08:02:00.000Z,105,35,-32323.2
9호선,2026-06-16T17:44:00.000Z,32,24,-32263.0
2호선,2026-06-24T18:16:00.000Z,105,43,-32341.3
2호선,2026-06-24T18:24:00.000Z,103,46,-32349.6
2호선,2026-06-24T12:31:00.000Z,54,29,-32353.0
2호선,2026-06-24T18:56:00.000Z,100,39,-32350.9
1호선,2026-06-24T08:49:00.000Z,194,42,-32311.9
9호선,2026-06-24T08:44:00.000Z,99,36,-32350.6
9호선,2026-06-24T08:26:00.000Z,115,39,-32313.0
9호선,2026-06-24T18:08:00.000Z,112,33,-32334.7
1호선,2026-06-24T08:53:00.000Z,208,48,-32313.9
9호선,2026-06-24T12:04:00.000Z,31,16,-32346.6
2호선,2026-06-24T07:55:00.000Z,132,47,-32347.1
9호선,2026-06-24T12:01:00.000Z,44,25,-32354.2
